Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Bad Kitty Christmas,,,,,Nick Bruel,"Bruel, Nick",,,,,Macmillan,2011/09/13,2011,,Juvenile Fiction,"A HILARIOUS NEW HOLIDAY PICTURE BOOK ABOUT EVERYONE'S FAVORITE NAUGHTY FELINE""Twas the night before Christmas, and all through the city, not a creature was stirring...Except for BAD KITTY.""A greedy Bad Kitty didn't get all the presents she wanted for Christmas, but after she goes on a Christmas caper across town and through multiple alphabets, she makes a new friend, finds an old friend, and learns the true meaning of Christmas. Or not. Nick Bruel's first picture book about Bad Kitty since the uproarious Poor Puppy in 2007 is full of rhyming mayhem... and Christmas cheer.",,,,,,,40,,,,,English,,,,9781596436688,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:34:30.199264049,,,,,,XI4qZSrHjT0C,,0,,
A kitten is born,,,,,"Heiderose Fischer-Nagel, Andreas Fischer-Nagel","Fischer-Nagel, Heiderose",,,,,Putnam,1983/08/26,1983,,Juvenile Fiction,Text and pictures follow Tabitha's kittens from their conception and birth to independence from their mother.,,,,,,,40,,,,,English,,,,,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:27:43.896474957,,,,,,FRPbAAAAMAAJ,,0,,
A Possible Tree,,,,,Josephine Haskell Aldridge,"Aldridge, Josephine Haskell",,,,,Macmillan,,1993,,Animals,"The old fir tree on Joe Bracken's farm is too crooked to be of value to woodsmen from the lumber mill. But a raccoon and then a mother squirrel with young ones, and soon many other creatures, find comfort and safety in its twisted branches. On a snowy Christmas Eve, Joe's family and neighbors finally discover its magic as well. Full-color illustrations.",,,,,,,32,,,,,English,,,,9780027004076,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:35:24.452633023,,,,,,1Vd3He1hY8wC,,0,,
Bad Kitty,,,,,Nick Bruel,"Bruel, Nick",,,,,Macmillan,2005/10/01,2005,,Juvenile Fiction,"From the creator of The New York Times bestseller Boing! comes the riotous story of a cat gone berserk -- four times over an in alphabetical order each time. Kitty is not happy hen she's told that her favorite foods are all gone and all that's left are Asparagus, Beets, Cauliflower, Dill...and 22 other equally unappealing vegetables. So she: Ate my homework, Bit grandma, Clawed the curtains, Damaged the dishes, and so on, through Z. Only when tastier things arrive (An Assortment of Anchovies, Buffalo Burritos, Chicken Cheesecake...) does she Apologize to Grandma.",,,,,,,40,,,,,English,,,,9781596430693,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:26:51.266191959,,,,,,SJ8SzKtFbdYC,,0,,
Best friends wear pink tutus,,,,,Sheri Brownrigg,"Brownrigg, Sheri",,,,,Scholastic,,1993,,Accessible book,,,,,,,,,,,,,,,,,9780590464376,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:37:13.590759038,,,,,,,,0,https://covers.openlibrary.org/b/id/384286-L.jpg,
Big Sister Dora!,,,,,"Alison Inches, Dave Aikins","Inches, Alison",,,,,ABDO,,2005,,Juvenile Fiction,"Someone new is going to join Dora's family! It's someone who sleeps in a cradle, drinks from a bottle, wears diapers, and likes to be rocked to sleep. Can you guess who it might be?",,,,,,,24,,,,,English,,,,9781599610672,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:36:24.817674994,,,,,,EhYHdPT0PaEC,,0,,
Biscuit wants to play,,,,,Alyssa Satin Capucilli,"Capucilli, Alyssa Satin",,,,,Scholastic Inc.,,2007,,Play,,,,,,,,23,,,,,,,,,9780439917643,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:26:42.193701028,,,,,,,,0,https://covers.openlibrary.org/b/id/6472200-L.jpg,
Calling All Cats,,,,,Maryann Cocca-Leffler,"Cocca-Leffler, Maryann",,,,,Grosset & Dunlap,,2004,,Juvenile Fiction,"Calling all cats! Time for a birthday party! But what happens when a dog shows up for the party, too? In this hilarious new tale, watch the cats and dog play with yarn, drink milk, and eat birthday cake. Friends really do come in all shapes and sizes!",,,,,,,32,,,,,English,,,,9780448433691,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:37:22.170871019,,,,,,a65JVt7b75EC,,0,,
Christmas Parade,,,,,Sandra Boynton,"Boynton, Sandra",,,,,Little Simon,2012/10/02,2012,,Juvenile Fiction,"A delightful Christmas picture book filled with hilarious characters and dynamic art from the one and only Sandra Boynton!BOOM biddy BOOM biddy BOOM BOOM BOOM!What’s that noise filling the room? From this rousing beginning unfolds Christmas Parade, a merry picture book from Sandra Boynton.As the dynamic parade of forty-six spiffy and intent animal musicians marches by, young readers will see animals and their instruments in turn: chickens with bassoons, ducks with trombones, mice with piccolos, cow saxophonists, a tiny bird with a large tuba, a glockenspiel pig, even a trumpet-playing Santa rhino—all underscored by marching snares (fifteen hippos, one cat) and one booming bass drum (an intrepid elephant).Written with the irresistible rhythm of a lively marching band and illustrated by the author with those signature Boynton characters, Christmas Parade is a superb present for young children and families everywhere. Biddy BOOM.",,,,,,,32,,,,,English,,,,9781442468139,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:34:53.181879043,,,,,,vKStuAAACAAJ,,0,,
Dora's Costume Party (Dora the Explorer),,,,,Nickelodeon Publishing,"Publishing, Nickelodeon",,,,,Nickelodeon Publishing,2011/11/14,2011,,Juvenile Fiction,"It's almost time for Dora the Explorer's Halloween costume party, and everyone is getting ready. But Boots has a problem - he can't decide what to be. Come to the party to help Dora and friends celebrate Halloween... and find out how Boots solves his costume crisis!",,,,,,,24,,,,,English,,,,9781612632612,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:25:13.526878952,,,,,,-bD_AgAAQBAJ,,0,,
Dora's Thanksgiving,,,,,Sarah Willson,"Willson, Sarah",,,,,Paw Prints,2009/01/06,2009,,Juvenile Fiction,"It's Thanksgiving, and Dora and her family and friends are ready to clelbrate. What is Dora thankful for? Take a look inside Dora's Thanksgiving and find out!",,,,,,,24,,,,,English,,,,9781439586556,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:25:03.523874044,,,,,,2KtuPwAACAAJ,,0,,
Ellie,,,,,Mike Wu,"Wu, Mike",,,,,Disney-Hyperion,2015/05/12,2015,,Juvenile Fiction,"The zoo is closing! Ellie and her friends want to save their home, but Ellie's just a baby elephant, and she doesn't know what she can do to help. While the other animals are busy working, Ellie finds a brush and some paints, and gives the zoo a big splash of color! Will her bright new talent be enough to keep the zoo's gates open for good?",,,,,,,40,,,,,English,,,,9781484712399,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:26:41.538102984,,,,,,8HaJoAEACAAJ,,0,,
